                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.15029,                0.88333,                      1,                0.21294,             0.00023483,             0.00023483,             0.00023483
                      2,                0.03174,                0.98667,                      1,                0.15935,             0.00042602,             0.00042602,             0.00042602
                      3,                0.01036,                0.98667,                      1,                0.15625,             0.00057008,             0.00057008,             0.00057008
                      4,                0.00466,                0.99667,                      1,                0.15133,             0.00050194,             0.00050194,             0.00050194
                      5,                0.00241,                      1,                      1,                0.14984,             0.00050194,             0.00050194,             0.00050194
                      6,                 0.0032,                0.99667,                      1,                0.14878,             0.00043126,             0.00043126,             0.00043126
                      7,                0.00387,                0.99333,                      1,                0.15194,             0.00036057,             0.00036057,             0.00036057
                      8,                0.00137,                      1,                      1,                0.14984,             0.00028988,             0.00028988,             0.00028988
                      9,                0.00137,                      1,                      1,                0.14983,              0.0002192,              0.0002192,              0.0002192
                     10,                0.00057,                      1,                      1,                0.14976,             0.00014851,             0.00014851,             0.00014851
